topic,title,url,date,type,source
"","","","","","","","","","","","Brouhaha Over Expressed Sequence Tags","https://www.belfercenter.org/publication/brouhaha-over-expressed-sequence-tags","Books","","All","","","","","",""
"","","","","","","","","","","","State and Federal Technology Relationships in the United States and Brazil","https://www.belfercenter.org/publication/state-and-federal-technology-relationships-united-states-and-brazil","Books","","All","","","","","",""
"","","","","","","","","","","","Government Organization: Implications for Science and Technology Policy","https://www.belfercenter.org/publication/government-organization-implications-science-and-technology-policy","Books","","All","","","","","",""
"","","","","","","","","","","","On Rethinking Technology Policy","https://www.belfercenter.org/publication/rethinking-technology-policy","Books","","All","","","","","",""
"","","","","","","","","","","","Academe's Place in the Legislatures","https://www.belfercenter.org/publication/academes-place-legislatures","Books","","All","","","","","",""
"","","","","","","","","","","","Public and private sources of technology outside the firm","https://www.belfercenter.org/publication/public-and-private-sources-technology-outside-firm","Books","","All","","","","","",""
"","","","","","","","","","","","Knowledge and Diplomacy: Science Advice in the United Nations System","https://www.belfercenter.org/publication/knowledge-and-diplomacy-science-advice-united-nations-system","Reports & Papers","National Academy Press","All","","","","","",""
"","","","","","","","","","","","Investing in Innovation: Towards a Consensus Strategy for Federal Technology Policy","https://www.belfercenter.org/publication/investing-innovation-towards-consensus-strategy-federal-technology-policy","Reports & Papers","MIT Press","All","","","","","",""
"","","","","","","","","","","","Foreign Policy and Intellectual Property Rights in Latin America","https://www.belfercenter.org/publication/foreign-policy-and-intellectual-property-rights-latin-america","Reports & Papers","Hoover Institution Press","All","","","","","",""
"","","","","","","","","","","","Toward a Public Information Infrastructure: Information Policy and the Internet","https://www.belfercenter.org/publication/toward-public-information-infrastructure-information-policy-and-internet","Reports & Papers","Office of Technology Assessment","All","","","","","",""
"","","","","","","","","","","","Economic and Environmental Effects of Accelerated Tariff Liberalization in the Forest Products Sector","https://www.belfercenter.org/publication/economic-and-environmental-effects-accelerated-tariff-liberalization-forest-products","Reports & Papers","","All","","","","","",""
"","","","","","","","","","","","Charge to the Bush Administration: U.S. Interests in Energy Cooperation With China","https://www.belfercenter.org/publication/charge-bush-administration-us-interests-energy-cooperation-china","Reports & Papers","Environmental Change and Security Program, Wilson Center","All","","","","","",""
"","","","","","","","","","","","The Missing Link? Nuclear Proliferation and the International Mobility of Russian Nuclear Experts","https://www.belfercenter.org/publication/missing-link-nuclear-proliferation-and-international-mobility-russian-nuclear-experts","Reports & Papers","United Nations","All","","","","","",""
"","","","","","","","","","","","Cyberlaw Discourses: An Analytic Framework","https://www.belfercenter.org/publication/cyberlaw-discourses-analytic-framework","Books","","All","","","","","",""
"","","","","","","","","","","","A Little Knowledge is a Dangerous Thing","https://www.belfercenter.org/publication/little-knowledge-dangerous-thing","Books","","All","","","","","",""
"","","","","","","","","","","","Quality Denied: The Pitfalls of Extra-Legal Processes","https://www.belfercenter.org/publication/quality-denied-pitfalls-extra-legal-processes","Books","","All","","","","","",""
"","","","","","","","","","","","The Meaning of Sustainability: Biogeophysical Aspects","https://www.belfercenter.org/publication/meaning-sustainability-biogeophysical-aspects","Books","","All","","","","","",""
"","","","","","","","","","","","International Trade and Environment: Towards Integrative Responsibility","https://www.belfercenter.org/publication/international-trade-and-environment-towards-integrative-responsibility","Books","","All","","","","","",""
"","","","","","","","","","","","Bridging the Genetic Divide","https://www.belfercenter.org/publication/bridging-genetic-divide","Books","","All","","","","","",""
"","","","","","","","","","","","Social Capital and Technological Innovation","https://www.belfercenter.org/publication/social-capital-and-technological-innovation","Books","","All","","","","","",""
"","","","","","","","","","","","Energy Challenges and Opportunities","https://www.belfercenter.org/publication/energy-challenges-and-opportunities","Books","","All","","","","","",""
"","","","","","","","","","","","Mr. Coase, the King, the Law and the Money; Or: The Pivotal Role of Copyright in the Creative Arts","https://www.belfercenter.org/publication/mr-coase-king-law-and-money-or-pivotal-role-copyright-creative-arts","Books","","All","","","","","",""
"","","","","","","","","","","","Bridging the Gap: The Role of Spatial Information Technologies in Integrating Traditional Environmental Knowledge and Western Science","https://www.belfercenter.org/publication/bridging-gap-role-spatial-information-technologies-integrating-traditional","Books","","All","","","","","",""
"","","","","","","","","","","","Pharmaceutical and Medical Devices Industries","https://www.belfercenter.org/publication/pharmaceutical-and-medical-devices-industries","Books","","All","","","","","",""
"","","","","","","","","","","","Zeit fur wirtschafts -und finanzpragmaticschen Transfer: Das Innovationsverhalten deutscher und amerikanischer Unternehmen","https://www.belfercenter.org/publication/zeit-fur-wirtschafts-und-finanzpragmaticschen-transfer-das-innovationsverhalten","Books","","All","","","","","",""
"","","","","","","","","","","","Expert Games in Silicone Gel Breast Implant Litigation","https://www.belfercenter.org/publication/expert-games-silicone-gel-breast-implant-litigation","Books","","All","","","","","",""
"","","","","","","","","","","","Institutional Changes in Argentina, Brazil, China, India and South Africa","https://www.belfercenter.org/publication/institutional-changes-argentina-brazil-china-india-and-south-africa","Books","","All","","","","","",""
"","","","","","","","","","","","Emergence and Global Spread of GM Crops: Explaining the Role of Institutional Change","https://www.belfercenter.org/publication/emergence-and-global-spread-gm-crops-explaining-role-institutional-change","Books","","All","","","","","",""
"","","","","","","","","","","","Introduction: Genetically Modified Crops and National Development Priorities","https://www.belfercenter.org/publication/introduction-genetically-modified-crops-and-national-development-priorities","Books","","All","","","","","",""
"","","","","","","","","","","","The Financial Architecture of Technology-Based Small Firms in Belgium: An Explorative Study","https://www.belfercenter.org/publication/financial-architecture-technology-based-small-firms-belgium-explorative-study","Books","","All","","","","","",""
"","","","","","","","","","","","Proliferation on the Peninsula: Five North Korean Nuclear Crises","https://www.belfercenter.org/publication/proliferation-peninsula-five-north-korean-nuclear-crises","Books","","All","","","","","",""
"All","Decarbonizing Residential Space Heating with Heat Pumps in the United States","https://www.belfercenter.org/research-analysis/decarbonizing-residential-space-heating-heat-pumps-united-states","2025-12-10T12:00:00Z","Article","Energy Policy"
"All","Governing Outer Space: A Conference of the Parties for the Outer Space Treaty","https://www.belfercenter.org/research-analysis/space-cop-governance","2025-12-08T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs"
"All","Governing Outer Space: A Conference of the Parties for the Outer Space Treaty","https://www.belfercenter.org/research-analysis/space-cop-governance","2025-12-08T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs"
"All","Workshop Report: The Governance of Arctic Climate Interventions","https://www.belfercenter.org/research-analysis/arctic-geoengineering-governance","2025-08-11T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs"
"All","Breaking the Cost Escalation Curse of Nuclear Power","https://www.belfercenter.org/research-analysis/breaking-cost-escalation-curse-nuclear-power","2025-08-03T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs"
"All","China’s Updated Climate Goals: Q&A with Senior Fellow Fan Dai","https://www.belfercenter.org/research-analysis/chinas-updated-climate-goals-qa-senior-fellow-fan-dai","2025-07-15T12:00:00Z","Q&A","Belfer Center for Science and International Affairs"
"All","The Revenue Potential and Country Exposure of a U.S. Border Carbon Adjustment","https://www.belfercenter.org/research-analysis/us-border-carbon-adjustment","2025-06-02T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs"
"All","Preserving U.S.-Russian Cooperation in Science and Marine Stewardship: Opportunities for Civil Society in the Bering Strait","https://www.belfercenter.org/research-analysis/preserving-us-russian-cooperation-science-and-marine-stewardship-opportunities","2025-05-12T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs"
"All","The Health Impacts of Permafrost Thaw in Alaska","https://www.belfercenter.org/research-analysis/health-impacts-permafrost-thaw-alaska","2025-05-02T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs"
"All","Stimulating Clean Hydrogen Demand: The Current Landscape","https://www.belfercenter.org/research-analysis/stimulating-clean-hydrogen-demand-current-landscape","2025-02-26T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs"
"All","Thinking Beyond Boundaries: How the High Seas Treaty Can Serve the Arctic","https://www.belfercenter.org/research-analysis/thinking-beyond-boundaries-how-high-seas-treaty-can-serve-arctic","2025-02-21T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs"
"All","Call to Action on Permafrost: Applying Knowledge and Research to Complex Problems Facing Communities","https://www.belfercenter.org/research-analysis/call-action-permafrost-applying-knowledge-and-research-complex-problems-facing","2024-12-16T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School Arctic Athabaskan Council"
"All","Leveraging Border Carbon Adjustments for Climate Finance: Matching Carbon Tax Assets with Carbon Tax Liabilities","https://www.belfercenter.org/research-analysis/cbam-climate-finance","2024-12-02T12:00:00Z","Reports & Papers","Science, Technology, and Public Policy Program, Belfer Center"
"All","Hot Topics in the Far North: Permafrost Thaw and Wildfires","https://www.belfercenter.org/research-analysis/hot-topics-far-north-permafrost-thaw-and-wildfires","2024-08-12T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","What Do Africa and the Arctic Have in Common? A Lot, It Turns Out","https://www.belfercenter.org/publication/what-do-africa-and-arctic-have-common-lot-it-turns-out","2024-06-03T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Seeing Like a Data Structure","https://www.belfercenter.org/publication/seeing-data-structure","2024-05-23T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Talking Trash: Experts Share Challenges, Best Practices for Waste Management in Arctic Cities","https://www.belfercenter.org/research-analysis/talking-trash-experts-share-challenges-best-practices-waste-management-arctic","2024-05-20T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Transboundary Arctic Issues at Stake","https://www.belfercenter.org/publication/transboundary-arctic-issues-stake","2024-03-28T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","India - The New Global Green Hydrogen Powerhouse?","https://www.belfercenter.org/publication/india-new-global-green-hydrogen-powerhouse","2024-03-26T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Environmental Impacts of the War in Ukraine in the Arctic","https://www.belfercenter.org/publication/environmental-impacts-war-ukraine-arctic","2024-03-04T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Cooperation or Conflict in the Arctic: What to Do About Russia During a Climate Crisis?","https://www.belfercenter.org/publication/cooperation-or-conflict-arctic-what-do-about-russia-during-climate-crisis","","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Wins and Losses for the Arctic at COP28","https://www.belfercenter.org/research-analysis/wins-and-losses-arctic-cop28","2024-02-28T12:00:00Z","Event Summary","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Why the Arctic - and Russia's Role in It - Matters","https://www.belfercenter.org/publication/why-arctic-and-russias-role-it-matters","2024-02-23T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","COP28 Delivered Its Mandate for Incremental Progress - No More, No Less","https://www.belfercenter.org/publication/cop28-delivered-its-mandate-incremental-progress-no-more-no-less","2023-12-18T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Carbon Finance Is Becoming Part of the Paris Agreement Toolkit – But Isn’t Ready Yet","https://www.belfercenter.org/publication/carbon-finance-becoming-part-paris-agreement-toolkit-isnt-ready-yet","2023-12-18T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Prospects for Direct Air Carbon Capture and Storage: Costs, Scale, and Funding","https://www.belfercenter.org/publication/prospects-direct-air-carbon-capture-and-storage-costs-scale-and-funding","2023-11-30T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","AI and Trust","https://www.belfercenter.org/publication/ai-and-trust","2023-11-27T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Infrastructure Challenges in the Alaskan Arctic","https://www.belfercenter.org/publication/infrastructure-challenges-alaskan-arctic","2023-08-31T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Arctic Warning: Climate-Related Challenges for Community Health","https://www.belfercenter.org/publication/arctic-warning-climate-related-challenges-community-health","2023-08-30T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Climate Change Adaptation Issues for Arctic and Sub-Arctic Cities","https://www.belfercenter.org/publication/climate-change-adaptation-issues-arctic-and-sub-arctic-cities","2023-08-30T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Ocean Issues in Alaska: From Fisheries Management to Public Safety and Security","https://www.belfercenter.org/publication/ocean-issues-alaska-fisheries-management-public-safety-and-security","2023-08-23T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Arctic Shipping: Trends, Challenges and Ways Forward","https://www.belfercenter.org/publication/arctic-shipping-trends-challenges-and-ways-forward","2023-08-23T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Opportunities for Multilateral Cooperation on Climate Change in the Arctic","https://www.belfercenter.org/publication/opportunities-multilateral-cooperation-climate-change-arctic","2023-08-16T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Science of Rapid Climate Change in Alaska and the Arctic: Sea Ice, Land Ice, and Sea Level","https://www.belfercenter.org/publication/science-rapid-climate-change-alaska-and-arctic-sea-ice-land-ice-and-sea-level","2023-08-16T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Making a Case for Investing in Nature: An Interview with Lydia Zemke","https://www.belfercenter.org/publication/making-case-investing-nature-interview-lydia-zemke","2023-08-15T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Future of Energy Value Chains in the Transition to a Low-Carbon Economy: An Evaluation Framework of Integration and Segmentation Scenarios","https://www.belfercenter.org/publication/future-energy-value-chains-transition-low-carbon-economy-evaluation-framework","2023-08-14T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Carbon Capture, Utilization, and Storage: Carbon Dioxide Transport Costs and Network-Infrastructure Considerations for a Net-Zero United States","https://www.belfercenter.org/publication/carbon-capture-utilization-and-storage-carbon-dioxide-transport-costs-and-network","2023-07-20T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Nuclear About-Face: Examining the Role of Collective Face Concerns in Iran's Nuclear Decision-Making","https://www.belfercenter.org/publication/nuclear-about-face-examining-role-collective-face-concerns-irans-nuclear-decision","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Outsiders Wanting In: Asian States and Arctic Governance","https://www.belfercenter.org/publication/outsiders-wanting-asian-states-and-arctic-governance","2023-07-07T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Geopolitics of Climate Change: Scenarios and Pathways for Arctic 2050","https://www.belfercenter.org/publication/geopolitics-climate-change-scenarios-and-pathways-arctic-2050","2023-07-06T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Guns, Incels, and Algorithms: Where We Are on Managing Terrorist and Violent Extremist Content Online","https://www.belfercenter.org/publication/guns-incels-and-algorithms-where-we-are-managing-terrorist-and-violent-extremist","2023-06-12T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Arctic Council in Transition: An Interview with Fran Ulmer","https://www.belfercenter.org/publication/arctic-council-transition-interview-fran-ulmer","2023-05-08T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Reactions to the Leak of Classified Military Intelligence Documents","https://www.belfercenter.org/publication/reactions-leak-classified-military-intelligence-documents","2023-04-19T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The UN High Seas Treaty in the Arctic Context","https://www.belfercenter.org/publication/un-high-seas-treaty-arctic-context","2023-03-21T12:00:00Z","Explainer","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","New Russian Law on Northern Sea Route Navigation: Gathering Arctic Storm or Tempest in a Teapot?","https://www.belfercenter.org/publication/new-russian-law-northern-sea-route-navigation-gathering-arctic-storm-or-tempest-teapot","2023-03-09T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Russia’s Arctic Shelf Bid and the Commission on the Limits of the Continental Shelf, Explained","https://www.belfercenter.org/publication/russias-arctic-shelf-bid-and-commission-limits-continental-shelf-explained","2023-03-02T12:00:00Z","Explainer","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","We Don’t Need to Reinvent our Democracy to Save it from AI","https://www.belfercenter.org/publication/we-dont-need-reinvent-our-democracy-save-it-ai","2023-02-09T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","COP27 May Have Killed the Voluntary Carbon Market: A Better Model Must Take Its Place","https://www.belfercenter.org/publication/cop27-may-have-killed-voluntary-carbon-market-better-model-must-take-its-place","2023-01-03T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Series Explores AI and Algorithm Regulations and Practices","https://www.belfercenter.org/publication/series-explores-ai-and-algorithm-regulations-and-practices","","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Fusion Breakthroughs in Context: Professors Holdren and Bunn Reflect on Fusion Ignition Announcement","https://www.belfercenter.org/publication/fusion-breakthroughs-context-professors-holdren-and-bunn-reflect-fusion-ignition","2022-12-14T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Financing the Energy Transition through Cross-Border Investment","https://www.belfercenter.org/publication/financing-energy-transition-through-cross-border-investment","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Arctic Won’t Wait: Novel Structures for Advancing Arctic Goals During Geopolitical Crisis","https://www.belfercenter.org/publication/arctic-wont-wait-novel-structures-advancing-arctic-goals-during-geopolitical-crisis","2022-06-28T12:00:00Z","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Remarks for the US-UK Scientific Forum on ""Bringing Nature into Decision Making""","https://www.belfercenter.org/publication/remarks-us-uk-scientific-forum-bringing-nature-decision-making","2022-06-17T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","New Risks in Ransomware: Supply Chain Attacks and Cryptocurrency","https://www.belfercenter.org/publication/new-risks-ransomware-supply-chain-attacks-and-cryptocurrency","2022-05-16T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Center Experts Honored for Outstanding Accomplishments","https://www.belfercenter.org/publication/center-experts-honored-outstanding-accomplishments","","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","""Speaking Science to Power"" - John Holdren's NAS Public Welfare Medal Acceptance Speech","https://www.belfercenter.org/publication/speaking-science-power-john-holdrens-nas-public-welfare-medal-acceptance-speech","2022-05-01T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Future of Renewable Hydrogen in the European Union: Market and Geopolitical Implications","https://www.belfercenter.org/publication/future-renewable-hydrogen-european-union-market-and-geopolitical-implications-0","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","COP26 Takeaways: Statement from Laura Diaz Anadon","https://www.belfercenter.org/publication/cop26-takeaways-statement-laura-diaz-anadon","2021-11-18T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Learning from Cyber Incidents: Adapting Aviation Safety Models to Cybersecurity","https://www.belfercenter.org/publication/learning-cyber-incidents-adapting-aviation-safety-models-cybersecurity","2021-11-12T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Mission Hydrogen: Accelerating the Transition to a Low Carbon Economy","https://www.belfercenter.org/publication/mission-hydrogen-accelerating-transition-low-carbon-economy","2021-10-29T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Reinventing Climate Change Education","https://www.belfercenter.org/publication/reinventing-climate-change-education","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Reforming the Arctic Narrative: Indigenous Storytelling, Journalism, and the Potential of Co-Production in the North","https://www.belfercenter.org/publication/reforming-arctic-narrative","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Exploring a World of AI Hackers","https://www.belfercenter.org/publication/exploring-world-ai-hackers","","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Addressing Dramatic Changes in the Bering Strait Region Requires Governance Adaptations","https://www.belfercenter.org/publication/addressing-dramatic-changes-bering-strait-region-requires-governance-adaptations","2020-11-12T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Thawing Arctic Permafrost: A Local and (Likely) Global Disaster","https://www.belfercenter.org/publication/thawing-arctic-permafrost-local-and-likely-global-disaster","2020-11-02T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Linkages between the Indian Innovation System and MNE R&D Centers in India","https://www.belfercenter.org/publication/linkages-between-indian-innovation-system-and-mne-rd-centers-india","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Center Experts Reflect on 75th Anniversary of Hiroshima Bombing","https://www.belfercenter.org/publication/center-experts-reflect-75th-anniversary-hiroshima-bombing","2020-08-06T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Why Developing Countries Should Build Computational Modelling Capacity for Policy Analytics","https://www.belfercenter.org/publication/why-developing-countries-should-build-computational-modelling-capacity-policy-analytics","2020-06-04T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Bruce Schneier on Cybersecurity in the Age of Coronavirus","https://www.belfercenter.org/publication/bruce-schneier-cybersecurity-age-coronavirus","2020-04-20T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Policy and Action on Plastic in the Arctic Ocean: October 2019 Workshop Summary & Recommendations","https://www.belfercenter.org/publication/policy-and-action-plastic-arctic-ocean-october-2019-workshop-summary-recommendations","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School Wilson Center"
"All","In Memoriam: Patricia McLaughlin","https://www.belfercenter.org/publication/memoriam-patricia-mclaughlin","","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Weaponizing Digital Health Intelligence","https://www.belfercenter.org/publication/weaponizing-digital-health-intelligence","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Former Science Advisor John Holdren Comments on Trump's Executive Order Reviving President's Council of Advisors on Science and Technology","https://www.belfercenter.org/publication/former-science-advisor-john-holdren-comments-trumps-executive-order-reviving-presidents","2019-10-23T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Technology Factsheet: Solar Geoengineering","https://www.belfercenter.org/publication/technology-factsheet-solar-geoengineering","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","A Theory of Engagement With North Korea","https://www.belfercenter.org/publication/theory-engagement-north-korea","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Comments on India's Draft Electricity (Amendment) Act 2018","https://www.belfercenter.org/publication/comments-indias-draft-electricity-amendment-act-2018","2019-04-30T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Iran Nuclear Archive: Impressions and Implications","https://www.belfercenter.org/publication/iran-nuclear-archive-impressions-and-implications","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Thirty-three Years Since the Catastrophe at Chernobyl: A Universal Lesson for the Global Nuclear Power Industry","https://www.belfercenter.org/publication/thirty-three-years-catastrophe-chernobyl-universal-lesson-global-nuclear-power-industry","2019-04-25T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Securing Nuclear Weapons and Materials Worldwide: Expanded Funding Needed for a More Ambitious Approach","https://www.belfercenter.org/publication/securing-nuclear-weapons-and-materials-worldwide-expanded-funding-needed-more-ambitious","2019-04-19T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Climate Change and Cape Cod: What We Know. What We Expect. What We Can Do.","https://www.belfercenter.org/publication/climate-change-and-cape-cod-what-we-know-what-we-expect-what-we-can-do","2019-03-29T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","How to Deal with Increasingly Complex Safety-Critical Technologies","https://www.belfercenter.org/publication/how-deal-increasingly-complex-safety-critical-technologies","2019-03-28T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Combating Complacency about Nuclear Terrorism","https://www.belfercenter.org/publication/combating-complacency-about-nuclear-terrorism","","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","The Long Arm","https://www.belfercenter.org/publication/long-arm","","Reports & Papers","Managing the Atom Project, Belfer Center"
"All","Bruce Schneier on Office Hours Podcast","https://www.belfercenter.org/publication/bruce-schneier-office-hours-podcast","2019-02-11T12:00:00Z","Article","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","A Vision for Nuclear Security","https://www.belfercenter.org/publication/vision-nuclear-security-0","","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Revitalizing Nuclear Security in an Era of Uncertainty","https://www.belfercenter.org/publication/revitalizing-nuclear-security-era-uncertainty","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","2018 State of Digital Transformation","https://www.belfercenter.org/publication/2018-state-digital-transformation","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Climate Change and the Cape & Islands: What We Know. What We Expect. What We Can Do.","https://www.belfercenter.org/publication/climate-change-and-cape-islands-what-we-know-what-we-expect-what-we-can-do","2018-07-30T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Science for Policy and Policy for Science in the Federal Government","https://www.belfercenter.org/publication/science-policy-and-policy-science-federal-government","2018-05-22T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Natural & Social Science in the Executive Branch","https://www.belfercenter.org/publication/natural-social-science-executive-branch","2018-05-17T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Database on U.S. Department of Energy (DOE) Budgets for Energy Research, Development, & Demonstration (1978–2019R)","https://www.belfercenter.org/publication/database-us-department-energy-doe-budgets-energy-research-development-demonstration-0","2018-03-22T12:00:00Z","Policy Briefs","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Exponential Innovation and Human Rights","https://www.belfercenter.org/publication/exponential-innovation-and-human-rights","2018-02-27T12:00:00Z","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","African Regional Economic Integration","https://www.belfercenter.org/publication/african-regional-economic-integration","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","India’s Nuclear Safeguards: Not Fit for Purpose","https://www.belfercenter.org/publication/indias-nuclear-safeguards-not-fit-purpose","","Reports & Papers","Managing the Atom Project, Belfer Center"
"All","The Department of Energy National Laboratories","https://www.belfercenter.org/publication/department-energy-national-laboratories","","Reports & Papers","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Newsmakers","https://www.belfercenter.org/publication/newsmakers-30","","Blog Post","Belfer Center for Science and International Affairs, Harvard Kennedy School"
"All","Why the Wafflers are Wrong","https://www.belfercenter.org/publication/why-wafflers-are-wrong","2017-10-26T12:00:00Z","Presentations","Belfer Center for Science and International Affairs, Harvard Kennedy School"
